lat	lon	Ort	Lage	Source
49.265116	8.602214	Sankt Leon-Rot	Amselweg	tauschgnom.de
52.453106	9.147286	Rehburg-Loccum	Marktstraße	tauschgnom.de
53.242534	10.403811	Lüneburg	Sülztorstraße	tauschgnom.de
51.212597	6.768226	Düsseldorf	Friedensplätzchen	tauschgnom.de
48.210681	16.344078	Wien	Josef-Matthias-Hauer-Platz	tauschgnom.de
51.256361	7.140268	Wuppertal	Friedrich-Ebert-Straße	tauschgnom.de
52.50034	8.64934	Rahden	Joh.-Chr.-Klasingstraße	tauschgnom.de
52.182123	10.104084	Schellerten	Rathausstraße	tauschgnom.de
52.28044	8.238704	Bissendorf	Am Bredberg	tauschgnom.de
50.62591	6.948552	Rheinbach	Hauptstraße	tauschgnom.de
52.523585	8.20129	Damme	Große Straße	tauschgnom.de
49.744086	6.631541	Trier	Hubert-Neuerburg-Straße	tauschgnom.de
52.31964	8.342364	Bad Essen	Lindenstraße	tauschgnom.de
50.845988	6.358286	Inden	Rathausstraße	tauschgnom.de
52.305605	8.428355	Bad Essen	Zum Junkenholz	tauschgnom.de
51.031294	7.109215	Odenthal	Altenberger-Dom-Straße	tauschgnom.de
51.768471	6.838076	Raesfeld	Rathausplatz	tauschgnom.de
52.360935	9.828455	Hannover	Schwemannstraße	tauschgnom.de
50.752979	6.841504	Weilerswist	Bonnerstraße	tauschgnom.de
50.815023	7.157055	Troisdorf	Kölner Straße	tauschgnom.de
50.646971	6.881227	Swisttal	Am Zehnthof	tauschgnom.de
50.143301	8.568581	Eschborn	Hauptstraße	tauschgnom.de
50.232002	7.588682	Boppard	Karmeliter Straße	tauschgnom.de
50.438634	7.404429	Andernach	Am Stadtgraben	tauschgnom.de
49.474817	6.386958	Perl	Trierer Straße	tauschgnom.de
50.992434	6.924604	Köln	Graseggerstraße	tauschgnom.de
54.09326	13.448777	Greifswald	An der Zugbrücke Greifswald-Wieck	tauschgnom.de
49.485649	8.490339	Mannheim	Gartenschauweg	tauschgnom.de
50.931117	6.935799	Köln	Rathenau Platz	tauschgnom.de
49.641102	8.64337	Heppenheim (Bergstraße)	Kellereigasse	tauschgnom.de
51.452884	6.733435	Duisburg	Dr.-Hammacher-Straße	tauschgnom.de
52.517771	10.214452	Bröckel	Bahnhofstraße 	tauschgnom.de
50.120186	8.714356	Frankfurt am Main	Parlamentsplatz	tauschgnom.de
48.900307	8.198989	Steinmauern	Hauptstraße	tauschgnom.de
47.782366	8.63979	Tengen	Hauptstraße	tauschgnom.de
49.160302	10.163393	Kreßberg	Crailsheimer Straße	tauschgnom.de
52.622881	10.079577	Celle	Schloßplatz	tauschgnom.de
53.099667	9.389388	Rotenburg (Wümme)	Bischofstraße	tauschgnom.de
49.47168	8.608115	Ladenburg	Mühlgasse	tauschgnom.de
51.44934	7.011228	Essen	Huyssenallee	tauschgnom.de
53.114343	9.422197	Rotenburg (Wümme)	Berliner Ring	tauschgnom.de
49.392993	8.799338	Neckargemünd	Hauptstraße	tauschgnom.de
52.431384	9.850578	Isernhagen	Bothfelder Straße	tauschgnom.de
53.118475	9.787386	Schneverdingen	Am Markt	tauschgnom.de
49.403397	8.687277	Heidelberg	Wilhelmsplatz	tauschgnom.de
50.166666	8.679938	Frankfurt am Main	Homburger Landstraße	tauschgnom.de
50.736903	7.094761	Bonn	Berliner Platz	tauschgnom.de
49.05754	9.898107	Obersontheim	Hauptstraße	tauschgnom.de
53.611836	10.000927	Hamburg	Alsterdorfer Damm	tauschgnom.de
53.582035	9.973396	Hamburg	Heider Straße	tauschgnom.de
47.809296	9.172087	Owingen	Haupstraße	tauschgnom.de
52.173537	9.970905	Hildesheim	Pfarrer-Hecke-Platz	tauschgnom.de
49.557595	11.124138	Kalchreuth	Spazierweg	tauschgnom.de
51.613033	8.340744	Erwitte	Am Markt	tauschgnom.de
52.153023	9.957785	Hildesheim	Theaterstraße	tauschgnom.de
51.169415	6.936127	Hilden	Dr. Ellen-Wiederhold-Platz	tauschgnom.de
52.301782	7.14902	Bad Bentheim	Gildehauser Straße	tauschgnom.de
52.163541	9.951273	Hildesheim	Martin-Luther-Straße	tauschgnom.de
50.056564	8.219927	Wiesbaden	Klagenfurter Ring	tauschgnom.de
50.953733	6.640162	Bergheim	Hauptstraße	tauschgnom.de
51.901865	8.614996	Schloß Holte-Stukenbrock	Holter Kirchplatz	tauschgnom.de
49.795228	8.988896	Höchst im Odenwald	Bahnhofstraße	tauschgnom.de
52.274545	7.712971	Ibbenbüren	Am Alten Posthof	tauschgnom.de
50.002529	8.272136	Mainz	Karmeliterplatz	tauschgnom.de
51.284139	7.292045	Schwelm	Märkischer Platz	tauschgnom.de
51.257645	6.951995	Mettmann	Peckhauser Straße	tauschgnom.de
49.594356	11.005076	Erlangen	Nürnberger Straße	tauschgnom.de
51.494203	7.412873	Dortmund	Emil-Figge-Straße	tauschgnom.de
50.868551	6.474685	Niederzier	Niederzierer Straße	tauschgnom.de
49.600604	11.001911	Erlangen	Fuchsenwiese	tauschgnom.de
52.370772	7.471974	Spelle	Pastor-Batsche-Weg	tauschgnom.de
50.809206	6.642028	Nörvenich	Bahnhofstraße	tauschgnom.de
51.903964	7.642073	Münster	Marktallee	tauschgnom.de
52.235642	8.169579	Bissendorf	Am Thie	tauschgnom.de
50.542512	9.6652	Fulda	Johannisstraße	tauschgnom.de
50.025581	8.884438	Rodgau	Hintergasse	tauschgnom.de
52.360994	8.307739	Bohmte	Bremer Straße	tauschgnom.de
51.560524	9.903112	Göttingen	Europaallee	tauschgnom.de
54.680028	8.758302	Ockholm	Schlüttsiel	tauschgnom.de
48.805595	9.534759	Schorndorf	Gmünder Straße	tauschgnom.de
49.429608	8.682092	Heidelberg	Mühlingstraße	tauschgnom.de
51.38362	6.452316	Kempen	Kirchplatz	tauschgnom.de
52.567612	9.021394	Steyerberg	Lange Straße	tauschgnom.de
47.925721	8.489346	Hüfingen	Hauptstraße	tauschgnom.de
52.424708	8.959261	Raddestorf	Glisser Dorfstraße	tauschgnom.de
52.38926	9.857544	Hannover	Anderter Straße	tauschgnom.de
50.869211	6.864801	Hürth	Mittelstraße	tauschgnom.de
52.393143	9.054771	Petershagen	Ilserheider Straße	tauschgnom.de
48.867354	9.256386	Remseck am Neckar	Neckarstraße	tauschgnom.de
50.870416	6.869329	Hürth	Brabanter Platz	tauschgnom.de
53.469695	9.852308	Hamburg	Neugrabener Markt	tauschgnom.de
52.626251	8.650573	Freistatt	Deckertstraße	tauschgnom.de
50.919924	6.954151	Köln	Rolandstraße	tauschgnom.de
50.001754	8.249078	Mainz	John F. Kennedy-Straße	tauschgnom.de
50.994595	6.80946	Pulheim	Anemonenweg	tauschgnom.de
48.542097	10.853118	Meitingen	Schloßstraße	tauschgnom.de
